Pseudo-barcode,Rep1_iPSCNeuron_ZC130_R,Rep2_iPSCNeuron_ZC131_R,Rep3_iPSCNeuron_ZC132_R,Rep4_iPSCNeuron_ZC133_R,enhancer_id
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_6,1028,4,3166,2436,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_7,2852,3279,1737,1135,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_8,3439,6766,1868,3,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_9,7271,2002,3052,10149,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_1,5,0,957,11,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_10,70132,16241,36042,21820,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_2,3082,6,2128,2448,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_3,3799,3207,2063,1307,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_4,6246,4,1131,4765,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_5,3961,3902,7577,1026,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_6,9643,2192,7208,3254,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_7,11311,7370,3711,4680,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_8,22274,12112,1048,773,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_9,19897,24565,5,5667,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_1,8627,7,2051,982,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_10,62480,47923,15845,50515,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_2,8785,10144,7052,6302,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_3,13787,4479,14810,13133,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_4,20225,14071,3101,13916,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_5,30846,18398,4164,5886,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_6,28405,25976,6180,2955,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_7,20350,29051,13628,5611,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_8,30691,13499,17158,17858,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_9,28793,18248,11003,37141,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_1,1,1,861,1672,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_10,32835,16592,4537,9876,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_2,3715,4,4576,2,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_3,3822,2153,4235,1981,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_4,3902,7581,2621,4005,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_5,6763,13651,2248,5,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_6,13422,5389,3528,5808,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_7,4186,22924,6,6067,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_8,22506,10624,2248,4502,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_9,26620,6964,1879,7381,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_1,0,0,0,2,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_10,13158,14896,35739,6672,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_2,2,4,1041,2391,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_3,8,7,3459,1955,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_4,6690,2,0,2699,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_5,7108,2,0,6162,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_6,3544,11375,2018,3184,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_7,8643,16042,6,997,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_8,14194,8704,2025,4263,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_9,9135,13494,9579,5474,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_1,3513,6,8147,10454,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_10,147869,30373,38158,29371,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_2,5785,21221,3999,2077,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_3,13637,17586,3034,6424,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_4,20977,12001,6721,11987,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_5,20469,15181,10850,10232,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_6,30798,13681,14916,1972,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_7,13684,22747,14660,20796,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_8,43302,20701,7839,6801,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_9,29070,53342,7363,12953,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_1,5,3481,3010,1707,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_10,66718,53964,7415,3041,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_2,1744,9065,5,1655,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_3,3141,5795,4377,5050,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_4,6660,13859,1,4150,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_5,18331,6049,3,3348,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_6,12503,18826,6,834,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_7,16407,11127,1201,6409,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_8,26651,4092,4698,9891,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_9,40842,1884,11929,4701,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_1,1746,7855,1,7,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_10,33103,57411,5572,19639,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_2,1745,2123,8234,1817,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_3,6471,4262,2818,4080,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_4,7919,2545,2794,6751,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_5,1497,3531,5929,11421,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_6,14639,4484,4,8583,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_7,10816,10579,2865,7659,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_8,20382,26,11261,7033,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_9,8316,12378,4561,26149,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_1,15242,16347,10709,9873,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_10,59032,63229,22222,42948,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_2,21946,7645,15846,14601,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_3,21837,17166,10183,15766,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_4,12812,22403,21772,18021,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_5,29398,33839,3703,13531,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_6,31372,16890,24851,13056,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_7,46085,24418,10030,18396,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_8,56614,30940,12119,13626,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_9,38674,51933,13876,25660,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_1,10369,24007,5713,12860,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_10,145225,61796,28843,45068,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_2,13468,15370,14515,7936,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_3,15003,19827,8520,22821,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_4,19101,33195,11398,11694,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_5,42390,27442,12677,4417,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_6,39916,21507,24234,17658,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_7,41315,36252,20828,10844,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_8,40396,39620,20584,16499,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_9,52517,47714,11973,20888,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_1,17438,13974,7776,7735,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_10,131877,46955,22118,35079,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_2,18999,7948,3051,12778,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_3,23553,14163,8256,7147,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_4,18227,32531,7523,6460,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_5,14670,25292,8635,22919,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_6,28016,23086,16179,10147,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_7,35627,30272,14297,8411,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_8,31523,44704,8088,19779,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_9,33849,50327,15091,12356,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_neg_T03000001061_Group_1,0,0,0,892,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_10,47862,15772,12084,3907,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_2,5894,4,2103,890,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_3,12,3505,4802,3448,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_4,7100,10,4672,3223,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_5,13373,6,3412,10,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_6,11448,2325,2947,2644,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_7,8272,13398,1858,1816,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_8,14188,5679,9843,2287,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_9,24228,12572,11,6612,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001872_Group_1,1,1,0,983,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_10,123306,41498,9027,11289,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_2,1959,2,1223,1732,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_3,4450,3075,3,1810,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_4,3756,3729,1425,2254,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_5,5540,3567,461,2832,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_6,3104,9497,2,2710,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_7,17852,12,2161,857,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_8,10940,11532,5975,9,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_9,16550,13302,9593,1940,ARP.Control.Nguyen_neg_T03000001872
