enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_11,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_12,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_13,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_14,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_15,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_16,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_17,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_18,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_19,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_20,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_21,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_22,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_23,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_24,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_25,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_26,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_27,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_28,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_29,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_30,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_31,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_32,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_11,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_12,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_13,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_14,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_15,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_16,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_17,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_18,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_19,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_20,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_21,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_22,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_23,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_24,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_25,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_26,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_27,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_28,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_29,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_30,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_31,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_32,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_11,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_12,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_13,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_14,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_15,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_16,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_17,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_18,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_19,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_20,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_21,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_22,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_23,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_24,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_25,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_26,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_27,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_28,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_29,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_30,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_31,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_32,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_11,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_12,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_13,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_14,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_15,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_16,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_17,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_18,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_19,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_20,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_21,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_22,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_23,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_24,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_25,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_26,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_27,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_28,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_29,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_30,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_31,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_32
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,3417,5338,7,3,3131,8481,6673,0,3,2607,6603,3571,16537,4982,5894,655,3186,0,5830,0,9922,6320,6,10449,1744,13856,636,2,14221,7448,0,51480,2216,4003,3,5792,0,4949,2041,3903,0,3858,4139,19825,6,4078,3701,5565,25323,3410,4077,3477,1485,5,10986,1872,1752,6,7785,4,2,12,0,3867,0,0,4377,0,0,6039,2,3,1982,1,2,6,2755,1773,3,3,1081,0,1198,1,0,1,1,7233,2,1941,0,1027,3,2922,0,289,1965,750,1867,3,3180,2078,3,1,619,2182,1,955,4,3922,832,5187,1,1652,1217,1,5,2595,1,4,2,4693,3,3,2054,3915,1084,7
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480,1487,7271,6102,1795,7456,10527,1888,8,4788,4781,1826,5796,1811,2,1735,7384,6,1798,1752,1743,1783,6,0,13322,2850,3425,2,7963,1,7,4,7315,0,16,175,4255,21510,16750,2888,3,5,2019,2,4,2367,2116,4,3426,3525,14992,8269,2,2090,3,2169,4159,5,3,1809,1591,3875,7150,6,6,0,7085,1,0,4,3,1,3985,2,2594,922,2149,578,471,3778,0,1902,3728,1966,0,1,2215,1,1837,1896,1023,0,1,0,1842,4027,2027,5779,992,1,4,920,5517,4739,2,3844,7495,2941,3663,1938,1813,2,2,2584,13202,6998,3,11656,4812,1,0,1135,6018,3,0,0,1639,3058,2378
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655,8168,11797,5605,23165,85,15239,8989,7122,6371,8899,18210,1799,16599,20497,4740,22571,1872,11297,16719,7251,8625,38836,8581,5428,1727,3518,8198,11655,13346,5260,10843,0,4136,4578,9739,8160,12639,12539,14219,25,3622,15322,10241,8554,6113,4086,14,10823,8452,28550,8387,12309,2,19357,7629,13143,2505,3717,1571,9781,3487,21131,19979,0,3133,4854,3842,3909,3135,1451,2685,14795,9455,4947,6759,1,3371,3974,14096,7678,2196,7070,5,1911,0,10205,1750,1787,3565,3874,3269,4870,10526,6193,5,0,6261,1613,6107,3189,7733,7615,4601,4181,9443,25949,2822,950,7558,6237,916,3374,7892,12409,2018,5589,11486,4590,2199,5924,3482,979,4462,1531,2082,6524,15762,0
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940,17537,12037,3248,3742,15282,24961,15349,47,30493,15335,8161,3542,10803,20064,7661,9912,12447,10,4593,12452,15018,3281,81610,10766,3756,13831,11331,8474,6556,14,17104,20283,7825,7263,6635,14262,3582,23450,22422,3788,16475,10924,15852,1766,13918,9872,11918,6538,9410,11324,7554,23851,9255,9,6019,11379,3428,4007,19017,13183,5467,7066,15420,3851,8652,6755,1,1845,1944,17758,997,2,6,3734,5450,6501,9287,5668,13508,2,6637,845,5767,6,2188,6624,5629,3786,4864,13003,5539,1895,2,8012,5308,7070,2433,1703,12046,5458,13175,7613,5371,1906,4,2711,29323,4433,794,9400,6196,0,6585,4020,6232,3138,3,10774,8128,4,3333,3689,1826,1,3601,3503,6117,7165
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915,13887,2846,10026,1571,5582,19352,5104,25408,6624,5358,22908,8422,11,4,25736,1676,10667,5236,7267,22832,6417,13455,6104,12886,3830,5407,72250,7287,10402,1330,8320,5574,25134,6573,5574,17950,9791,10912,15927,7340,9,9929,2929,6984,28666,10143,11,3440,10359,1925,4490,8439,10980,3739,8698,1585,29056,7739,10453,12811,3454,4,12311,1897,13115,3809,7928,10253,1609,5361,3929,4,5758,3928,4110,1929,1605,1009,10,6326,5967,1008,1,776,2425,1,6479,4322,3763,2401,4117,1986,2,3048,4034,1,3876,10692,1913,1925,3709,1980,1965,3431,3,2740,8602,1873,2780,1818,3414,3913,9586,2006,3489,13970,4638,1361,13568,6269,790,7589,8631,11,6,9283,3072,3908
ARP.Control.Nguyen_neg_T03000001061,6358,3344,3814,7568,1912,5281,19979,0,0,0,1910,3717,0,3632,3635,5,2,2,10473,8,13316,4601,5272,3465,5,519,3130,7721,9689,4050,5691,3278,3,5179,2,7388,5506,2880,8,0,0,0,0,2319,0,3,10,3,3498,7889,3572,7,5,1,2789,1,4,3,5,1695,10497,3,0,1,1855,2,0,5,3,1975,976,0,0,0,119,1,0,1971,3921,2948,1,0,1830,4672,4,0,3947,1,1853,1983,2946,9274,4,1441,0,0,4,5329,958,1277,4,5,7,2,3,2,2,3,885,5,2281,963,5,1808,999,545,6,2636,1,2,2480,886,5,2052,849,2,3,1720
ARP.Control.Nguyen_neg_T03000001872,0,1957,43939,3102,3712,5330,3751,1,1476,3498,5,5640,12,5337,1730,5580,65053,0,0,0,0,0,0,21,5591,2,7291,10602,2974,3789,2,7063,4020,0,2168,0,19230,1963,3,0,0,5,6,4052,3896,3961,0,7287,4140,0,0,3075,1,0,3720,3540,3675,2,2,15960,0,27,5477,5,1,0,1906,1,1030,6848,2,0,1,2160,1423,1,5969,2,1,2744,2057,0,0,2,0,0,0,459,4,1223,0,4034,0,1,0,1,650,5,7586,2056,3,2,0,1,1807,1,2250,1001,1,4,2829,937,891,5,1724,3,5,972,4,1,4,3,3,2809,0,2,4,853
ARP.Control.Nguyen_neg_T03000002350,3,1608,4806,8,3619,3,0,1,5203,889,5438,0,0,1522,9128,2005,6401,2,3537,0,21735,3015,7,4720,4432,3557,2612,3459,5346,0,2,3,3453,2,7851,3,3,10361,0,1901,1,1987,5578,0,0,0,3425,1,16,1810,3747,1,15,8208,10123,3,4,34,5198,6,4169,0,2,3750,0,0,1016,3378,3968,3,0,0,0,3074,447,0,0,0,2,1,5762,2146,3,2020,4481,1,0,0,0,0,1606,1936,4910,0,1770,995,934,1609,4,1,3,9300,0,1063,1,3,4807,1,3,2,8,1,2,3,1,2713,4728,929,2246,0,2,2649,788,7,2670,961,3054,3
ARP.Control.Nguyen_neg_T03000006478,17111,5621,12830,18659,3595,3737,3528,5272,1959,9503,1941,23,19,2627,5250,5773,1922,6307,9725,1674,12095,1980,10142,4127,8445,5159,11740,1909,8096,13228,3168,1807,3332,17622,7968,5,3679,5467,94,10442,3,3476,6182,7630,24,4511,7491,5692,5481,3517,1884,1843,9873,1611,7676,16854,11684,15226,1865,3832,12627,9,3660,5764,1912,5688,2128,1,2148,7141,3917,4669,3295,2142,0,8747,9302,1,2972,0,2,1,2180,3815,3,11403,1,7254,3736,18978,2880,0,1046,1946,10303,8908,4035,10998,13904,2555,9490,7686,3155,0,4560,4805,3484,6,2,1812,5576,7342,2011,2336,962,1995,4647,5910,2677,956,2323,3627,916,983,8,4,5567,2256
ARP.Control.Nguyen_neg_T03000008079,0,1,1,6,0,3,0,0,1825,0,0,3702,2,0,3556,10,1783,0,1844,0,2067,0,0,1898,0,3849,2097,7,0,1764,1928,0,0,3528,3786,21465,9,2,0,0,0,0,0,0,0,90,0,4,3,0,6978,0,0,0,0,4,0,1,6163,16570,0,2,0,0,0,1039,2037,3,1949,2591,0,0,0,0,0,0,1341,0,2,4199,0,0,4,0,1,0,0,1970,0,0,1558,2,0,0,0,0,3803,418,3,1,0,1,4077,3,2,1,1,0,0,3,0,1891,1114,3,0,1068,1054,2,1568,3,2059,898,4,2775,2059,1,1,0
ARP.Control.Nguyen_neg_T03000009050,3756,6618,2479,2,2,3439,6107,7,8437,9289,10636,3746,6951,6467,3,10222,10428,8454,4972,9933,618,9407,1514,2,1454,1,1864,8248,14268,10547,4,13681,5973,2,5,1,10513,1572,5512,3604,5315,3103,4,6315,4147,8185,17213,8319,1742,6280,1527,14069,0,7,11636,6,1,4308,3380,3890,6,6,5145,6,6682,1869,1791,1799,1593,5770,22082,1221,2982,73579,5,937,1175,3934,2,1865,1637,0,1,2345,0,1,2,4635,1068,0,0,4,0,3131,4317,1838,3,3,3344,1943,1226,3565,930,1773,4186,3,4857,5,1950,4,7,4,651,1108,5069,3827,5394,3700,4845,5706,5069,1966,2474,4232,1766,2757,3,2702
ARP.Control.Nguyen_neg_T03000009840,0,1892,0,3085,0,0,0,0,0,0,0,0,0,0,0,2,0,3644,0,0,0,0,0,0,0,0,3518,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,2197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,901,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,1915,0,0,1,1079,0,0,0,0,0
ARP.Control.Nguyen_neg_T03000009843,2,3255,3,6726,4,0,0,9,1767,1668,1137,4739,0,0,20004,1,0,1,3818,0,1439,1534,8,5,3,13912,6581,0,1,0,3,2415,5349,1772,4677,8690,872,0,2904,13508,12192,3342,0,3,0,0,1362,1654,0,2742,35154,0,6,1,4603,2,10621,5,3,0,1969,0,5420,1,0,0,2,5,1465,0,0,2,2,0,2,0,0,0,2778,0,0,0,1767,0,2305,0,2859,1695,1169,3,1759,0,0,1,1979,0,797,0,2,1,874,877,2,1708,998,1,2177,1058,1,1,860,0,0,2275,1407,496,1089,1,1,1,1,1575,2723,8131,2,2,3672,913
ARP.Control.Nguyen_neg_T03000010893,3409,3469,2,5909,7,9460,3579,3552,1758,2200,5625,4,1969,1,10401,2051,5500,0,0,79,1685,1,11898,18028,19659,14441,4,3801,10944,2001,1599,7710,1,3556,9621,3,13127,4101,24616,6323,5,2035,6450,3,8827,3170,4604,2,11120,0,2,22627,3899,0,1922,2136,4610,2097,1,8893,2183,2,12021,11333,0,2948,2,0,1,5,2,0,1,0,2380,2076,3419,0,74702,3643,3272,0,1036,4795,5784,0,4227,7,4,1,995,2039,6418,4398,1,3858,2932,1719,16801,1,1,0,4330,757,2,0,3,0,7137,3,1719,8596,2044,0,0,1210,2,1,5968,1852,2,1757,0,3539,868,2,2,550
ARP.Control.hg38_chr1:168848149-168848269,3542,2922,3770,0,16545,6075,3179,7,0,5,3443,1884,23,1,6011,6402,5274,7876,3032,10,0,3835,3375,1575,2,3905,9204,27502,1961,9000,12478,9865,5613,7469,1841,0,1,3060,3382,5640,0,20643,2,1763,45038,1,1,21,1894,38982,1969,7,3,1,9,2,3788,5,3,5872,7449,3350,3836,4059,25,4042,2509,0,992,10085,0,3780,0,2,2671,0,2553,987,3978,7825,1804,7,5929,4929,1026,0,7752,2405,925,2759,0,4,2,2011,1060,496,2727,5531,1947,2859,1939,0,4166,1886,3,1842,1919,4533,1943,6584,5536,2440,918,1065,0,3205,5616,4946,3805,1,977,3,1706,904,10119,2,1052,1769
ARP.Control.mm10_chr5:52618636-52618756,1,7175,6078,2563,5585,0,0,2,0,1718,0,25617,3473,15,5427,5325,0,1886,0,8471,1724,3,8651,0,0,5640,4,0,5,3901,5225,1,1,951,7,2,3679,0,0,3854,0,5,0,13,3618,3,1,8,0,3,1,5,1,3832,3,0,0,3178,2221,0,10804,3,4,2132,1029,2,4428,1337,3041,0,0,867,2,1879,0,4,1,1167,1843,2546,0,1056,0,1,0,2947,3037,0,0,3885,1254,0,1,4,0,0,7544,3358,1973,1973,3,1,2,910,1,1,0,2,2,3,3,3920,4,900,3,4171,0,1,2,1,3,2484,0,1940,0,1107,1553,0
ARP.Control.mm10shuf5_chr12:85436241-85436361_shuf_245,8150,3320,1,3,0,1,3675,10005,3097,1247,7,2,4936,3710,1,3423,31359,1772,2344,6,1718,7435,1880,26254,6933,3364,5544,10,3085,8564,3053,3413,0,10081,3627,7438,2036,1726,3764,5128,10126,3471,3560,1,1920,6280,3722,1946,7856,4,32292,2068,4599,5,5101,6611,9,3921,12,16973,3619,8746,0,3741,2,6822,0,3,0,0,2568,2,4923,2,3124,905,718,3,1,1,1693,1855,5,511,3,2005,1902,3334,2836,1362,8760,3515,1,4026,0,1,1,4908,3,1058,1901,3877,1959,3203,5902,2259,5702,600,5531,772,958,6,6,4688,1618,2422,4802,2522,1665,3937,4,1872,1868,2930,2,5482,3,2820
ARP.Control.rheMac8_chr2:197426041-197426161,4751,0,5,1846,3529,6,1,4597,0,0,1,5291,0,2,57,2468,1060,6110,0,11,5339,4925,8286,10204,5,4,7,0,939,3725,12399,6,5233,0,6,1795,5,4,3577,12431,0,0,0,1974,3627,1477,39,1653,3883,8868,3585,7,3769,5337,3140,11,6767,2,2,3,3579,7515,5054,7025,839,0,2668,1450,1953,3451,1790,0,0,0,0,1,2,0,29778,1825,3759,0,0,6070,2,3,1832,4874,1699,2656,2758,1107,3454,901,1944,1794,4719,3,1,4,2,1821,8717,3406,1,2,19,1,1,2719,2,1,883,1,1,1,0,1,1,1,2712,3,731,1,2422,1086,1,1
ARP.Control.rs115898899,3679,1809,1646,909,3054,12600,3542,2,5,3345,10371,1956,10310,0,18,28839,15109,5691,6,3842,7149,7047,4,1837,3186,2762,14263,3135,4010,5220,0,0,8,4186,3186,7468,3,3911,11981,2111,3484,1,174,5884,2596,1761,6,4900,3750,2017,3263,1642,2267,3573,1761,5,9994,22061,3912,15017,5866,1815,0,0,3857,1,942,2704,2037,996,4,822,0,2,7943,1049,1,1,5254,2999,1005,3917,3826,2003,32623,1,874,2652,2,1,7,4551,2984,5741,0,0,5424,1936,6,1793,2198,5678,1013,11,1,5,4,7510,1783,4437,1307,2351,3662,11196,7342,1823,654,4,2278,4169,1773,3212,6,3,3119,2,0,0
ARP.Control.taeGut2_chr13:8529831-8529951,3032,1,0,0,1,0,0,0,0,0,0,0,1727,1695,0,0,3480,0,0,0,0,0,1,1741,0,0,0,0,3261,0,0,0,1,1,0,0,0,0,3560,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1880,1,0,0,0,0,0,0,0,0,0,990,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,864,0,0,0,0,0,1033,3778,0,0,1126,0,0,1,0,1,0,0,1782,0,1,0,920,0,0,1,0,0,0,1,0,0
