Pseudo-barcode,Rep1_iPSCNeuron_ZC130_R,Rep2_iPSCNeuron_ZC131_R,Rep3_iPSCNeuron_ZC132_R,Rep4_iPSCNeuron_ZC133_R,enhancer_id
ARP.Control.CS6000151238_taeGut2_chr19_Group_4,13736,14831,15165,13524,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_5,14830,15674,16001,14758,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_6,14901,15704,16770,14662,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_7,18086,18754,19797,17799,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_8,18010,18769,19354,17280,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_9,12241,12895,14043,12705,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_1,5262,5725,6151,5518,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_10,11864,13501,13708,12849,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_2,7105,6841,6981,6920,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_3,5884,6221,6337,5817,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_4,5235,6036,5967,5454,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_5,7715,7774,8064,7086,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_6,10024,11258,11315,9969,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_7,8788,10503,10277,9092,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_8,4759,5661,5698,5101,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_9,6277,7054,7116,6341,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_1,13818,17007,17027,15228,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_10,18753,20647,23117,20488,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_2,10883,11926,13675,12126,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_3,11126,11586,13459,12207,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_4,10172,11217,12786,10642,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_5,12142,12871,18599,13173,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_6,11342,11828,14950,11222,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_7,14048,15253,17547,15001,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_8,10632,11803,12960,11884,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725_Group_9,12309,14489,15019,13640,ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_1,16405,16575,19442,17885,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_10,22603,22601,26816,23523,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_2,13477,14154,15738,14130,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_3,18853,18280,20392,18567,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_4,17536,12884,14188,13666,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_5,14470,14998,16774,15045,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_6,16615,17968,20398,18480,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_7,14602,15549,17567,15998,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_8,16091,16819,18853,17331,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085_Group_9,22902,24205,28154,25490,ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_1,6191,6831,7672,6575,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_10,11297,11623,13580,12015,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_2,4413,4938,5776,4886,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_3,4451,4979,5652,4898,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_4,6437,7014,8320,7134,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_5,5885,6399,7844,6520,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_6,6188,6847,7805,7306,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_7,5458,5883,6243,5612,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_8,9167,9768,11129,9520,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220_Group_9,5675,5937,6972,5937,ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_1,2851,3224,3550,3260,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_10,7590,7957,8816,7712,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_2,2637,2694,3014,2825,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_3,2270,2353,2753,2399,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_4,2555,2808,2943,2540,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_5,2874,3074,3189,2712,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_6,2586,2851,2996,2745,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_7,4281,4623,5553,4638,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_8,5270,5549,6193,6425,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320_Group_9,5006,5679,6083,5353,ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_1,32512,34910,39724,35502,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_10,42152,44568,50052,43945,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_2,29247,32847,36002,32417,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_3,27998,30915,34822,30876,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_4,26468,28602,33200,28273,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_5,24113,26204,28775,25805,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_6,26511,28714,32559,28788,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_7,30922,32698,37954,33231,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_8,26966,28722,32867,28777,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040_Group_9,30225,32906,37301,32884,ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_1,13878,15897,16270,14704,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_10,15635,16643,18243,16238,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_2,9780,10349,11481,10206,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_3,8656,9612,10545,9317,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_4,9979,10903,12296,11281,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_5,10946,11867,13079,11712,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_6,8827,9483,10107,9254,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_7,14299,14281,15022,13523,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_8,13959,14926,16298,15119,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150_Group_9,13254,19761,15685,14396,ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_1,13273,14071,15092,13245,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_10,15010,17050,17009,15029,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_2,8752,10054,9636,8766,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_3,8202,8135,8332,7740,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_4,9414,10611,10487,9395,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_5,11129,12041,12153,11742,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_6,9628,11075,10731,9840,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_7,10869,12160,12068,10885,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_8,11429,12666,13043,11519,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480_Group_9,11434,11978,12117,11004,ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_1,38458,39752,46241,42455,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_10,32670,34299,40025,36628,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_2,21980,27581,27224,25968,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_3,33091,35260,45500,36554,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_4,31109,33447,37928,34604,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_5,26867,28022,32560,30814,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_6,34729,35419,41509,37876,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_7,31249,32783,38567,35085,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_8,30779,32975,38760,35095,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655_Group_9,31523,32007,37863,33563,ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_1,18982,19976,19731,17961,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_10,19781,21248,23136,20047,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_2,11448,13183,13211,11364,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_3,9629,10404,10874,11203,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_4,14411,15714,15343,14523,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_5,18065,19366,19943,18487,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_6,13172,14110,15537,13403,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_7,16861,18367,19282,17223,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_8,19854,21636,21319,19315,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940_Group_9,18876,20345,21060,18678,ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_1,20477,20359,23773,21297,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_10,25215,26225,29678,26306,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_2,19924,21759,23880,21165,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_3,15796,17277,18614,17547,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_4,22137,29755,26731,24533,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_5,20996,21488,24390,21328,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_6,20665,22188,24403,22265,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_7,20997,21720,25531,22162,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_8,19170,20275,23286,21080,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915_Group_9,22234,23616,26085,23799,ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915
ARP.Control.Nguyen_neg_T03000001061_Group_1,15926,16859,21592,18721,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_10,19611,21519,26633,23396,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_2,14108,14923,19135,16885,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_3,11169,11817,15697,12830,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_4,12439,13379,17134,14593,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_5,17494,18837,23469,21205,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_6,14801,16565,20058,17132,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_7,16128,17474,22118,18820,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_8,16991,17532,22754,19788,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001061_Group_9,13516,14657,19037,16398,ARP.Control.Nguyen_neg_T03000001061
ARP.Control.Nguyen_neg_T03000001872_Group_1,12448,13089,14875,12830,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_10,22521,25434,27940,23733,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_2,8358,8913,10469,8845,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_3,9978,10336,12123,10308,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_4,13788,15134,16969,14640,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_5,11886,12825,13978,12847,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_6,14024,15280,16707,14715,ARP.Control.Nguyen_neg_T03000001872
ARP.Control.Nguyen_neg_T03000001872_Group_7,13496,14726,16313,14704,ARP.Control.Nguyen_neg_T03000001872
