ID,enhancer_id,Group,Pseudo-barcode
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.439300,ARP.Control.CS6000065474_rheMac8_chr20,5,ARP.Control.CS6000065474_rheMac8_chr20_Group_5
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1236619,ARP.Control.CS6000065474_rheMac8_chr20,5,ARP.Control.CS6000065474_rheMac8_chr20_Group_5
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.599965,ARP.Control.CS6000065474_rheMac8_chr20,5,ARP.Control.CS6000065474_rheMac8_chr20_Group_5
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.97334,ARP.Control.CS6000065474_rheMac8_chr20,4,ARP.Control.CS6000065474_rheMac8_chr20_Group_4
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1576480,ARP.Control.CS6000065474_rheMac8_chr20,4,ARP.Control.CS6000065474_rheMac8_chr20_Group_4
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1207759,ARP.Control.CS6000065474_rheMac8_chr20,4,ARP.Control.CS6000065474_rheMac8_chr20_Group_4
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.613050,ARP.Control.CS6000065474_rheMac8_chr20,3,ARP.Control.CS6000065474_rheMac8_chr20_Group_3
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.474668,ARP.Control.CS6000065474_rheMac8_chr20,3,ARP.Control.CS6000065474_rheMac8_chr20_Group_3
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1566277,ARP.Control.CS6000065474_rheMac8_chr20,3,ARP.Control.CS6000065474_rheMac8_chr20_Group_3
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1086773,ARP.Control.CS6000065474_rheMac8_chr20,2,ARP.Control.CS6000065474_rheMac8_chr20_Group_2
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.456877,ARP.Control.CS6000065474_rheMac8_chr20,2,ARP.Control.CS6000065474_rheMac8_chr20_Group_2
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1086178,ARP.Control.CS6000065474_rheMac8_chr20,2,ARP.Control.CS6000065474_rheMac8_chr20_Group_2
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.792887,ARP.Control.CS6000065474_rheMac8_chr20,1,ARP.Control.CS6000065474_rheMac8_chr20_Group_1
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.548970,ARP.Control.CS6000065474_rheMac8_chr20,1,ARP.Control.CS6000065474_rheMac8_chr20_Group_1
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.412744,ARP.Control.CS6000065474_rheMac8_chr20,1,ARP.Control.CS6000065474_rheMac8_chr20_Group_1
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1356338,ARP.Control.CS6000065474_rheMac8_chr20,1,ARP.Control.CS6000065474_rheMac8_chr20_Group_1
ARP.Control.CS6000076312_mm10_chr18#free16-1.719277,ARP.Control.CS6000076312_mm10_chr18,10,ARP.Control.CS6000076312_mm10_chr18_Group_10
ARP.Control.CS6000076312_mm10_chr18#free16-1.1445376,ARP.Control.CS6000076312_mm10_chr18,10,ARP.Control.CS6000076312_mm10_chr18_Group_10
ARP.Control.CS6000076312_mm10_chr18#free16-1.377332,ARP.Control.CS6000076312_mm10_chr18,10,ARP.Control.CS6000076312_mm10_chr18_Group_10
ARP.Control.CS6000076312_mm10_chr18#free16-1.170984,ARP.Control.CS6000076312_mm10_chr18,10,ARP.Control.CS6000076312_mm10_chr18_Group_10
ARP.Control.CS6000076312_mm10_chr18#free16-1.524649,ARP.Control.CS6000076312_mm10_chr18,9,ARP.Control.CS6000076312_mm10_chr18_Group_9
ARP.Control.CS6000076312_mm10_chr18#free16-1.1440867,ARP.Control.CS6000076312_mm10_chr18,9,ARP.Control.CS6000076312_mm10_chr18_Group_9
ARP.Control.CS6000076312_mm10_chr18#free16-1.799911,ARP.Control.CS6000076312_mm10_chr18,9,ARP.Control.CS6000076312_mm10_chr18_Group_9
ARP.Control.CS6000076312_mm10_chr18#free16-1.1497979,ARP.Control.CS6000076312_mm10_chr18,8,ARP.Control.CS6000076312_mm10_chr18_Group_8
ARP.Control.CS6000076312_mm10_chr18#free16-1.881641,ARP.Control.CS6000076312_mm10_chr18,8,ARP.Control.CS6000076312_mm10_chr18_Group_8
ARP.Control.CS6000076312_mm10_chr18#free16-1.1308936,ARP.Control.CS6000076312_mm10_chr18,8,ARP.Control.CS6000076312_mm10_chr18_Group_8
ARP.Control.CS6000076312_mm10_chr18#free16-1.893418,ARP.Control.CS6000076312_mm10_chr18,7,ARP.Control.CS6000076312_mm10_chr18_Group_7
ARP.Control.CS6000076312_mm10_chr18#free16-1.94721,ARP.Control.CS6000076312_mm10_chr18,7,ARP.Control.CS6000076312_mm10_chr18_Group_7
ARP.Control.CS6000076312_mm10_chr18#free16-1.603880,ARP.Control.CS6000076312_mm10_chr18,7,ARP.Control.CS6000076312_mm10_chr18_Group_7
ARP.Control.CS6000076312_mm10_chr18#free16-1.1205520,ARP.Control.CS6000076312_mm10_chr18,6,ARP.Control.CS6000076312_mm10_chr18_Group_6
ARP.Control.CS6000076312_mm10_chr18#free16-1.1043571,ARP.Control.CS6000076312_mm10_chr18,6,ARP.Control.CS6000076312_mm10_chr18_Group_6
ARP.Control.CS6000076312_mm10_chr18#free16-1.1501619,ARP.Control.CS6000076312_mm10_chr18,6,ARP.Control.CS6000076312_mm10_chr18_Group_6
ARP.Control.CS6000076312_mm10_chr18#free16-1.1059581,ARP.Control.CS6000076312_mm10_chr18,5,ARP.Control.CS6000076312_mm10_chr18_Group_5
ARP.Control.CS6000076312_mm10_chr18#free16-1.687358,ARP.Control.CS6000076312_mm10_chr18,5,ARP.Control.CS6000076312_mm10_chr18_Group_5
ARP.Control.CS6000076312_mm10_chr18#free16-1.210907,ARP.Control.CS6000076312_mm10_chr18,5,ARP.Control.CS6000076312_mm10_chr18_Group_5
ARP.Control.CS6000076312_mm10_chr18#free16-1.1283530,ARP.Control.CS6000076312_mm10_chr18,4,ARP.Control.CS6000076312_mm10_chr18_Group_4
ARP.Control.CS6000076312_mm10_chr18#free16-1.1292151,ARP.Control.CS6000076312_mm10_chr18,4,ARP.Control.CS6000076312_mm10_chr18_Group_4
ARP.Control.CS6000076312_mm10_chr18#free16-1.1422715,ARP.Control.CS6000076312_mm10_chr18,4,ARP.Control.CS6000076312_mm10_chr18_Group_4
ARP.Control.CS6000076312_mm10_chr18#free16-1.1468848,ARP.Control.CS6000076312_mm10_chr18,3,ARP.Control.CS6000076312_mm10_chr18_Group_3
ARP.Control.CS6000076312_mm10_chr18#free16-1.526355,ARP.Control.CS6000076312_mm10_chr18,3,ARP.Control.CS6000076312_mm10_chr18_Group_3
ARP.Control.CS6000076312_mm10_chr18#free16-1.636156,ARP.Control.CS6000076312_mm10_chr18,3,ARP.Control.CS6000076312_mm10_chr18_Group_3
ARP.Control.CS6000076312_mm10_chr18#free16-1.1592596,ARP.Control.CS6000076312_mm10_chr18,2,ARP.Control.CS6000076312_mm10_chr18_Group_2
ARP.Control.CS6000076312_mm10_chr18#free16-1.265629,ARP.Control.CS6000076312_mm10_chr18,2,ARP.Control.CS6000076312_mm10_chr18_Group_2
ARP.Control.CS6000076312_mm10_chr18#free16-1.735339,ARP.Control.CS6000076312_mm10_chr18,2,ARP.Control.CS6000076312_mm10_chr18_Group_2
ARP.Control.CS6000076312_mm10_chr18#free16-1.1085044,ARP.Control.CS6000076312_mm10_chr18,1,ARP.Control.CS6000076312_mm10_chr18_Group_1
ARP.Control.CS6000076312_mm10_chr18#free16-1.1622745,ARP.Control.CS6000076312_mm10_chr18,1,ARP.Control.CS6000076312_mm10_chr18_Group_1
ARP.Control.CS6000076312_mm10_chr18#free16-1.1346671,ARP.Control.CS6000076312_mm10_chr18,1,ARP.Control.CS6000076312_mm10_chr18_Group_1
ARP.Control.CS6000076312_mm10_chr18#free16-1.1243484,ARP.Control.CS6000076312_mm10_chr18,1,ARP.Control.CS6000076312_mm10_chr18_Group_1
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.275552,ARP.Control.CS6000151238_taeGut2_chr19,10,ARP.Control.CS6000151238_taeGut2_chr19_Group_10
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1130788,ARP.Control.CS6000151238_taeGut2_chr19,10,ARP.Control.CS6000151238_taeGut2_chr19_Group_10
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.739331,ARP.Control.CS6000151238_taeGut2_chr19,10,ARP.Control.CS6000151238_taeGut2_chr19_Group_10
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1154921,ARP.Control.CS6000151238_taeGut2_chr19,10,ARP.Control.CS6000151238_taeGut2_chr19_Group_10
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.318121,ARP.Control.CS6000151238_taeGut2_chr19,9,ARP.Control.CS6000151238_taeGut2_chr19_Group_9
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.963265,ARP.Control.CS6000151238_taeGut2_chr19,9,ARP.Control.CS6000151238_taeGut2_chr19_Group_9
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.673503,ARP.Control.CS6000151238_taeGut2_chr19,9,ARP.Control.CS6000151238_taeGut2_chr19_Group_9
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1167350,ARP.Control.CS6000151238_taeGut2_chr19,8,ARP.Control.CS6000151238_taeGut2_chr19_Group_8
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1260561,ARP.Control.CS6000151238_taeGut2_chr19,8,ARP.Control.CS6000151238_taeGut2_chr19_Group_8
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.785048,ARP.Control.CS6000151238_taeGut2_chr19,8,ARP.Control.CS6000151238_taeGut2_chr19_Group_8
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.83609,ARP.Control.CS6000151238_taeGut2_chr19,7,ARP.Control.CS6000151238_taeGut2_chr19_Group_7
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.98547,ARP.Control.CS6000151238_taeGut2_chr19,7,ARP.Control.CS6000151238_taeGut2_chr19_Group_7
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.323369,ARP.Control.CS6000151238_taeGut2_chr19,7,ARP.Control.CS6000151238_taeGut2_chr19_Group_7
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.378596,ARP.Control.CS6000151238_taeGut2_chr19,6,ARP.Control.CS6000151238_taeGut2_chr19_Group_6
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1388412,ARP.Control.CS6000151238_taeGut2_chr19,6,ARP.Control.CS6000151238_taeGut2_chr19_Group_6
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.139642,ARP.Control.CS6000151238_taeGut2_chr19,6,ARP.Control.CS6000151238_taeGut2_chr19_Group_6
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.702645,ARP.Control.CS6000151238_taeGut2_chr19,5,ARP.Control.CS6000151238_taeGut2_chr19_Group_5
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1316550,ARP.Control.CS6000151238_taeGut2_chr19,5,ARP.Control.CS6000151238_taeGut2_chr19_Group_5
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1184980,ARP.Control.CS6000151238_taeGut2_chr19,5,ARP.Control.CS6000151238_taeGut2_chr19_Group_5
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.85955,ARP.Control.CS6000151238_taeGut2_chr19,4,ARP.Control.CS6000151238_taeGut2_chr19_Group_4
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1528815,ARP.Control.CS6000151238_taeGut2_chr19,4,ARP.Control.CS6000151238_taeGut2_chr19_Group_4
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.625578,ARP.Control.CS6000151238_taeGut2_chr19,4,ARP.Control.CS6000151238_taeGut2_chr19_Group_4
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1621686,ARP.Control.CS6000151238_taeGut2_chr19,3,ARP.Control.CS6000151238_taeGut2_chr19_Group_3
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1124257,ARP.Control.CS6000151238_taeGut2_chr19,3,ARP.Control.CS6000151238_taeGut2_chr19_Group_3
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.517404,ARP.Control.CS6000151238_taeGut2_chr19,3,ARP.Control.CS6000151238_taeGut2_chr19_Group_3
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.728296,ARP.Control.CS6000151238_taeGut2_chr19,2,ARP.Control.CS6000151238_taeGut2_chr19_Group_2
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.1176439,ARP.Control.CS6000151238_taeGut2_chr19,2,ARP.Control.CS6000151238_taeGut2_chr19_Group_2
ARP.Control.CS6000151238_taeGut2_chr19#free16-1.408090,ARP.Control.CS6000151238_taeGut2_chr19,2,ARP.Control.CS6000151238_taeGut2_chr19_Group_2
