enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655,38458,32670,21980,33091,31109,26867,34729,31249,30779,31523,39752,34299,27581,35260,33447,28022,35419,32783,32975,32007,46241,40025,27224,45500,37928,32560,41509,38567,38760,37863,42455,36628,25968,36554,34604,30814,37876,35085,35095,33563
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940,18982,19781,11448,9629,14411,18065,13172,16861,19854,18876,19976,21248,13183,10404,15714,19366,14110,18367,21636,20345,19731,23136,13211,10874,15343,19943,15537,19282,21319,21060,17961,20047,11364,11203,14523,18487,13403,17223,19315,18678
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915,20477,25215,19924,15796,22137,20996,20665,20997,19170,22234,20359,26225,21759,17277,29755,21488,22188,21720,20275,23616,23773,29678,23880,18614,26731,24390,24403,25531,23286,26085,21297,26306,21165,17547,24533,21328,22265,22162,21080,23799
ARP.Control.Nguyen_neg_T03000001061,15926,19611,14108,11169,12439,17494,14801,16128,16991,13516,16859,21519,14923,11817,13379,18837,16565,17474,17532,14657,21592,26633,19135,15697,17134,23469,20058,22118,22754,19037,18721,23396,16885,12830,14593,21205,17132,18820,19788,16398
ARP.Control.Nguyen_neg_T03000001872,12448,22521,8358,9978,13788,11886,14024,13496,10038,13077,13089,25434,8913,10336,15134,12825,15280,14726,10912,13738,14875,27940,10469,12123,16969,13978,16707,16313,12246,15125,12830,23733,8845,10308,14640,12847,14715,14704,10778,13398
ARP.Control.Nguyen_neg_T03000002350,12979,22926,9863,10380,9748,12129,9024,10399,12591,15119,13773,25475,10356,11064,10052,13169,9670,11435,13078,15141,17643,28611,11820,12918,11537,15229,11148,12905,14639,17035,13990,25152,10350,11279,10138,13551,9711,11354,12976,15263
ARP.Control.Nguyen_neg_T03000006478,18026,21218,23080,16598,19437,19787,21404,18127,20150,19802,20562,22623,17002,18732,20867,22074,22729,19509,21021,21199,19637,22603,17487,18476,20536,22032,23381,19552,21940,21370,18157,20605,15905,16894,18634,19956,21292,17748,19827,19400
ARP.Control.Nguyen_neg_T03000008079,4279,4732,7038,3522,8935,6060,7015,5520,4294,7680,4362,5146,7008,3757,9062,6193,7827,5672,4273,7306,5499,6091,9538,4795,11455,7523,9440,6799,5212,9612,4917,5223,7854,3885,10339,6785,8148,6054,4653,8663
ARP.Control.Nguyen_neg_T03000009050,23765,24002,15649,16872,17616,19796,16930,17465,16385,16368,26702,26176,17979,17957,19681,21309,18726,19867,18348,17629,26563,26639,18082,18577,20562,21633,18971,22187,18439,18016,23578,24062,15229,16255,17439,19031,16699,17476,16523,16011
ARP.Control.Nguyen_neg_T03000009840,1293,2920,839,1767,630,282,452,1187,1889,985,1508,3466,938,1885,697,323,455,1269,2170,1224,1620,3703,965,2037,699,306,493,1415,2422,1191,1405,3229,897,1726,721,246,453,1297,2106,997
ARP.Control.Nguyen_neg_T03000009843,6270,8115,2508,4480,5214,6270,5786,5727,4546,6940,6922,9663,2823,5818,5372,7284,6122,6486,5400,7590,6486,8540,2639,4557,5081,6159,6031,6144,4950,7180,5843,7939,2468,4262,4584,5796,5725,5677,4417,6459
ARP.Control.Nguyen_neg_T03000010893,9224,19831,7823,10651,10828,13048,10088,16198,13051,12673,9392,21674,8738,11815,11691,13911,11056,17483,14017,14452,10604,22837,8841,12110,13109,14474,11004,18751,15004,15096,9404,20057,8053,10904,11272,12781,10293,15887,13203,13872
ARP.Control.hg38_chr1:168848149-168848269,9169,12879,8736,7072,7732,7995,9067,7991,9409,7493,10727,15269,10461,8167,9070,8869,10689,9324,11108,9954,8805,12756,8924,7059,7509,7649,8963,8077,9144,7630,7974,11975,8198,7016,7205,7084,8340,7281,8770,6828
ARP.Control.mm10_chr5:52618636-52618756,10598,10486,7114,7076,6032,7528,8182,8265,8305,8249,11527,18767,7739,8168,6992,8005,9324,9927,9367,8826,12369,12933,8456,8657,7603,8831,10019,10079,10222,10056,10746,11234,7138,7840,6987,7908,8968,8884,8919,8787
ARP.Control.mm10shuf5_chr12:85436241-85436361_shuf_245,22446,22754,16178,13724,14868,17957,16058,17149,14584,15608,25266,24410,17189,15768,15852,19739,16719,18260,15601,16648,27649,27061,18698,17033,16982,21110,19306,20416,17662,18052,24746,24257,17055,15782,15307,19484,17136,18429,15958,16270
ARP.Control.rheMac8_chr2:197426041-197426161,5468,6896,4428,4028,5074,3185,5000,3979,6720,4215,35641,8597,5298,4828,6585,4038,6123,5099,7937,5036,4979,6942,4134,3783,5008,3210,5151,4009,6512,3930,4775,6368,3821,3643,4716,2858,4563,3753,6002,3929
ARP.Control.rs115898899,13806,17168,18150,15025,15171,12929,11871,17170,17732,16714,15529,20128,16133,16819,16386,14637,13597,19177,19785,18887,15757,19256,16488,16590,15781,14908,12763,18177,19289,17963,14057,17667,14662,14695,14711,12823,11480,16412,17864,16722
ARP.Control.taeGut2_chr13:8529831-8529951,807,892,494,444,541,745,610,825,608,940,952,994,570,561,723,837,602,877,628,1250,753,919,625,478,630,776,556,816,641,940,754,748,548,492,624,682,580,723,538,862
