enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10
ARP.Control.Nguyen_neg_T03000002350,13507,23817,10210,11834,10819,9322,9453,12309,13125,15719,14354,26432,10787,12044,11743,9601,10716,13510,13561,15709,18395,29683,12334,13982,13696,11064,12317,15350,15258,17731,14561,26136,10826,12294,11846,10080,10817,13370,13503,15842
ARP.Control.Nguyen_neg_T03000006478,18757,24904,24073,16838,20798,19294,22247,20160,21028,17778,21348,26357,18508,17976,22889,21514,23548,21661,22296,19276,20461,26066,19194,17474,22497,21575,24480,21514,23212,19814,18914,24125,17152,16493,20477,19290,22065,19643,21140,17671
ARP.Control.Nguyen_neg_T03000008079,4563,4988,8000,3887,5394,7899,6453,8766,4543,8147,4624,5495,7468,4403,5241,8946,6337,9096,4492,7859,5796,6429,10422,5441,6631,10403,8208,10997,5540,10337,5237,5524,8336,4605,6135,9045,7351,9819,4898,9152
ARP.Control.Nguyen_neg_T03000009050,24762,25014,15767,17136,19327,20458,18743,15803,18544,16693,27699,27220,17647,18999,21358,21452,21039,18456,19746,18891,27593,27768,17574,18958,23077,22323,23737,17762,20041,19309,24399,25017,14885,16976,18985,19308,18777,16030,17903,17040
ARP.Control.Nguyen_neg_T03000009840,2081,3055,937,750,656,756,349,2369,1022,1273,2297,3620,1031,814,731,761,448,2633,1253,1351,2367,3880,1119,834,724,820,412,2945,1313,1573,2070,3387,942,732,755,758,347,2624,1131,1161
ARP.Control.Nguyen_neg_T03000009843,6401,9261,3857,4293,5570,5516,5714,5949,5406,6231,7649,10831,4238,4450,5934,6350,6380,6825,6137,7040,6714,9689,3979,4053,5695,5810,5862,6288,5570,6762,6038,8948,3603,3879,5259,5444,5438,5476,5017,6168
ARP.Control.Nguyen_neg_T03000010893,9646,20752,8237,11262,11318,11254,12922,16944,13703,13281,9859,22681,9170,12369,12237,12123,14140,18397,14695,15224,11114,23965,9317,12762,13745,12653,14129,19742,15776,15902,9928,21136,8419,11501,11983,11229,13016,16730,13870,14660
ARP.Control.hg38_chr1:168848149-168848269,9502,13299,8995,7308,7966,8289,10071,7566,9748,7785,11108,15745,10820,8462,9469,9187,11580,8948,11544,10301,9101,13147,9227,7307,7795,7902,9607,7798,9687,7902,8272,12352,8456,7312,7284,7496,8968,7097,9147,7065
ARP.Control.mm10_chr5:52618636-52618756,10398,11126,7035,7517,7256,7242,9260,8625,8695,8647,11528,19628,7962,8628,7947,8011,10166,10266,9758,9288,11978,13793,8676,9378,8900,8788,11025,10510,10745,10573,10590,12045,7290,8546,7812,7838,9968,9221,9368,9240
ARP.Control.mm10shuf5_chr12:85436241-85436361_shuf_245,23584,23832,17058,14374,15548,17143,17068,19324,15221,16581,25765,25506,18658,16385,16552,18645,18443,20033,16336,17649,28286,28370,20314,17858,17877,19821,20802,23173,18505,19201,25943,25491,18003,16550,16029,18367,18467,20808,16696,17238
ARP.Control.rheMac8_chr2:197426041-197426161,6260,7225,4146,4237,5284,3350,4952,4456,6998,4372,37519,8953,4983,5083,6850,4239,6080,5661,8271,5268,5784,7285,3846,4035,5219,3407,5046,4552,6824,4122,5385,6649,3669,3846,4936,3037,4620,4094,6293,4116
ARP.Control.rs115898899,16441,18027,17248,15351,15736,11705,14090,15855,17068,20898,18471,21007,14519,17509,17054,13430,15965,17331,19840,23002,19079,20200,14662,17370,16438,12627,16204,16662,19233,22076,16956,18528,13237,15224,15304,11400,13893,14846,17620,20692
ARP.Control.taeGut2_chr13:8529831-8529951,827,945,498,544,552,791,631,864,646,1010,933,1052,630,741,662,954,595,953,670,1300,948,984,515,642,567,808,618,903,695,1005,929,792,540,562,527,773,577,786,592,916
