enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,3617,154052,5973,15713,20004,21098,31704,23521,30168,46192,7,31235,21964,19841,10693,15618,14114,28608,28201,42895,8350,39107,4089,2057,7956,11118,15348,12879,5169,12574,10736,30131,2141,4432,15159,11239,2033,9618,24060,9902
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,9,69453,1818,3271,13222,14536,13029,17110,27841,42536,3609,56054,9422,6033,8451,12248,19576,11618,4244,1940,5353,7683,5,4553,3,4,6,1220,6924,12302,1787,3169,1723,6284,4323,3524,865,6732,13414,4925
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480,1808,34144,1793,11129,1558,6777,15897,9587,21018,8576,8105,59310,2204,186,9,8051,4107,15238,26,12810,1863,5733,8508,2895,6414,4000,1643,1888,12474,4684,9,20194,1868,4201,14053,6615,8173,6574,7250,26867
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655,16842,61077,15639,29534,13177,36703,30399,49865,58573,39889,16906,65485,16658,10802,23141,31479,31852,14333,32018,53753,13073,24834,18455,8187,23139,7996,16544,17235,12476,15315,12932,44286,11345,20466,18523,9377,14928,25111,14039,26425
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940,14316,121879,10202,16810,30419,47238,38136,42562,46312,71346,14898,83727,25712,21376,35972,22487,28188,52354,32186,50275,11676,29635,9058,14683,8032,15189,29650,14554,28534,6837,13677,58641,8720,17491,5642,18951,11344,7576,23162,15133
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915,23041,138116,15011,25759,18901,22939,24567,34722,32583,34945,16129,48677,12870,15327,33774,19866,28692,35100,46365,52215,8021,22750,6502,5139,7729,10858,14772,14578,8297,15509,3958,36274,11712,12906,6677,22318,12973,7531,20425,12711
ARP.Control.Nguyen_neg_T03000001061,0,49340,6075,13,7325,13796,11783,12301,10893,25017,0,16264,4,3629,10,9,2439,5699,14336,12992,0,12449,2158,4917,4792,3505,3023,5937,6093,11,921,4035,923,3540,3306,10,2726,2362,1945,6815
ARP.Control.Nguyen_neg_T03000001872,1,128419,2031,4601,3900,1828,14475,12856,11654,15270,1,43073,2,3231,3858,7830,7,9794,12075,19020,0,9304,1263,3,1467,473,2242,2062,7171,11953,1016,11708,1801,1872,2317,3594,2136,898,1033,969
ARP.Control.Nguyen_neg_T03000002350,0,33250,3609,4548,7,8871,6161,12225,12327,14302,0,20642,1949,1865,7415,10,10287,40,13768,21991,0,10067,1,5641,3086,3774,3156,4065,7538,1033,983,22011,1095,6,3741,3133,1654,9042,1748,2356
ARP.Control.Nguyen_neg_T03000006478,6421,42078,7650,22208,22890,17624,11237,33056,21680,25494,10532,51156,12160,6215,11740,15478,16262,20902,17398,39739,13522,30192,4046,5405,14182,11393,19782,4128,19973,11286,6564,33553,8916,7116,3021,14820,15855,8405,16425,8181
ARP.Control.Nguyen_neg_T03000008079,0,2186,2,1829,0,3986,9414,5835,3979,1919,0,45546,0,11,2226,6,0,4,3642,11122,0,1598,1380,1990,0,2652,2,2015,1066,6400,7,2852,1108,1627,4244,2238,1870,3936,5560,1954
ARP.Control.Nguyen_neg_T03000009050,643,34548,10170,3831,17255,14199,34105,12285,26308,24226,8112,28741,3485,11748,5875,14177,6425,27715,11941,26583,3074,103056,3001,10084,1832,9191,5,6805,5070,7139,11328,10128,7745,5851,13312,5568,7986,4337,12002,2001
ARP.Control.Nguyen_neg_T03000009840,0,10593,0,0,0,0,0,0,2,4329,0,7,0,0,0,0,0,0,0,4,0,2250,0,0,0,0,0,0,951,1044,0,1113,0,0,0,0,1,931,2080,1971
ARP.Control.Nguyen_neg_T03000009843,6,57089,1368,6082,6556,7353,1590,5632,6731,7833,1716,67026,2291,3445,7321,6654,16445,5040,16520,37381,1737,6703,1527,2354,2787,2990,4,6483,5047,9198,4,11232,3858,2028,818,3005,5177,11396,6577,4827
ARP.Control.Nguyen_neg_T03000010893,5,16323,1836,11886,7504,11481,15153,30264,26387,40587,3,63526,5408,2094,10610,30177,10351,13607,22835,18492,2091,82730,2439,0,10484,7,9208,8698,6876,8321,2,24838,5,3005,790,4,10619,6355,11405,6690
ARP.Control.hg38_chr1:168848149-168848269,1615,38522,4010,5471,12597,16455,12706,22839,22661,21969,3886,113420,9,1825,5392,3914,9258,4182,12832,15337,3407,2613,4881,7767,1835,9852,13829,12572,11382,5148,3935,11797,13171,9872,10282,3733,5848,10023,10864,18029
ARP.Control.mm10_chr5:52618636-52618756,0,47064,0,1795,6,3708,12013,9131,7398,20165,0,3299,1,4,6582,3975,1815,7692,12144,3808,0,8534,2,1190,1284,3910,1377,4909,1063,8852,6,8840,10,2002,1,1850,4750,7,11195,4040
ARP.Control.mm10shuf5_chr12:85436241-85436361_shuf_245,3152,70706,3531,4464,10220,12567,12911,7623,21098,6621,7615,57516,6251,9138,7714,9161,8859,14047,7318,39150,934,9296,1454,3,1912,4849,3450,7832,9728,15749,1607,11354,4465,6369,5939,4627,9488,9537,10918,16421
ARP.Control.rheMac8_chr2:197426041-197426161,1,22566,12,7,1914,6200,6591,11612,12427,16860,3,23501,2626,7457,3399,1711,13772,13116,18007,12922,1155,33488,5458,2845,5035,10228,5737,5380,4558,6875,25,8362,7,757,4676,4,908,2513,3905,8996
ARP.Control.rs115898899,11,40202,1714,12551,13033,19750,4216,20326,26851,25494,7600,30147,5123,4321,5379,4564,21370,22405,19731,11981,1735,36435,6327,2097,4768,9823,6660,2011,13797,8101,2348,6466,5903,4242,6148,7403,15144,8778,5828,32051
ARP.Control.taeGut2_chr13:8529831-8529951,0,6579,0,0,0,0,1,1761,3618,3603,0,3691,0,0,0,0,1,1,3,1963,0,1024,0,0,0,0,1034,1093,0,0,0,1973,0,0,0,2,2,1179,1867,4854
