,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Allele,SI_interaction,LI_interaction
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT,1,1,0
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT,1,1,0
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT,1,1,0
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT,1,1,0
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT,1,1,0
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF,0,0,0
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF,0,0,0
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF,0,0,0
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF,0,0,0
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF,0,0,0
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT,1,0,1
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT,1,0,1
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT,1,0,1
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT,1,0,1
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT,1,0,1
ZC119-MPRA3-AP1120-26-LI_REF_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1_REF,REF,ZC119-MPRA3-AP1120-26-LI_REF,AP1120_REF,Large_Intestine_REF,0,0,0
ZC119-MPRA3-AP1120-26-LI_REF_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2_REF,REF,ZC119-MPRA3-AP1120-26-LI_REF,AP1120_REF,Large_Intestine_REF,0,0,0
ZC119-MPRA3-AP1120-26-LI_REF_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3_REF,REF,ZC119-MPRA3-AP1120-26-LI_REF,AP1120_REF,Large_Intestine_REF,0,0,0
ZC119-MPRA3-AP1120-26-LI_REF_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4_REF,REF,ZC119-MPRA3-AP1120-26-LI_REF,AP1120_REF,Large_Intestine_REF,0,0,0
ZC119-MPRA3-AP1120-26-LI_REF_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5_REF,REF,ZC119-MPRA3-AP1120-26-LI_REF,AP1120_REF,Large_Intestine_REF,0,0,0
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT,1,1,0
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT,1,1,0
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT,1,1,0
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,4,4_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT,1,1,0
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,5,5_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT,1,1,0
ZC120-MPRA3-AP1133-26-SI_REF_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1_REF,REF,ZC120-MPRA3-AP1133-26-SI_REF,AP1133_REF,Small_Intestine_REF,0,0,0
ZC120-MPRA3-AP1133-26-SI_REF_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2_REF,REF,ZC120-MPRA3-AP1133-26-SI_REF,AP1133_REF,Small_Intestine_REF,0,0,0
ZC120-MPRA3-AP1133-26-SI_REF_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3_REF,REF,ZC120-MPRA3-AP1133-26-SI_REF,AP1133_REF,Small_Intestine_REF,0,0,0
ZC120-MPRA3-AP1133-26-SI_REF_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,4,4_REF,REF,ZC120-MPRA3-AP1133-26-SI_REF,AP1133_REF,Small_Intestine_REF,0,0,0
ZC120-MPRA3-AP1133-26-SI_REF_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,5,5_REF,REF,ZC120-MPRA3-AP1133-26-SI_REF,AP1133_REF,Small_Intestine_REF,0,0,0
ZC121-MPRA3-AP1133-26-LI_ALT_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,1,1_ALT,ALT,ZC121-MPRA3-AP1133-26-LI_ALT,AP1133_ALT,Large_Intestine_ALT,1,0,1
ZC121-MPRA3-AP1133-26-LI_ALT_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,2,2_ALT,ALT,ZC121-MPRA3-AP1133-26-LI_ALT,AP1133_ALT,Large_Intestine_ALT,1,0,1
ZC121-MPRA3-AP1133-26-LI_ALT_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,3,3_ALT,ALT,ZC121-MPRA3-AP1133-26-LI_ALT,AP1133_ALT,Large_Intestine_ALT,1,0,1
ZC121-MPRA3-AP1133-26-LI_ALT_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,4,4_ALT,ALT,ZC121-MPRA3-AP1133-26-LI_ALT,AP1133_ALT,Large_Intestine_ALT,1,0,1
ZC121-MPRA3-AP1133-26-LI_ALT_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,5,5_ALT,ALT,ZC121-MPRA3-AP1133-26-LI_ALT,AP1133_ALT,Large_Intestine_ALT,1,0,1
ZC121-MPRA3-AP1133-26-LI_REF_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,1,1_REF,REF,ZC121-MPRA3-AP1133-26-LI_REF,AP1133_REF,Large_Intestine_REF,0,0,0
ZC121-MPRA3-AP1133-26-LI_REF_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,2,2_REF,REF,ZC121-MPRA3-AP1133-26-LI_REF,AP1133_REF,Large_Intestine_REF,0,0,0
ZC121-MPRA3-AP1133-26-LI_REF_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,3,3_REF,REF,ZC121-MPRA3-AP1133-26-LI_REF,AP1133_REF,Large_Intestine_REF,0,0,0
ZC121-MPRA3-AP1133-26-LI_REF_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,4,4_REF,REF,ZC121-MPRA3-AP1133-26-LI_REF,AP1133_REF,Large_Intestine_REF,0,0,0
ZC121-MPRA3-AP1133-26-LI_REF_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,5,5_REF,REF,ZC121-MPRA3-AP1133-26-LI_REF,AP1133_REF,Large_Intestine_REF,0,0,0
ZC122-MPRA3-AP1134-26-SI_ALT_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,1,1_ALT,ALT,ZC122-MPRA3-AP1134-26-SI_ALT,AP1134_ALT,Small_Intestine_ALT,1,1,0
ZC122-MPRA3-AP1134-26-SI_ALT_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,2,2_ALT,ALT,ZC122-MPRA3-AP1134-26-SI_ALT,AP1134_ALT,Small_Intestine_ALT,1,1,0
ZC122-MPRA3-AP1134-26-SI_ALT_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,3,3_ALT,ALT,ZC122-MPRA3-AP1134-26-SI_ALT,AP1134_ALT,Small_Intestine_ALT,1,1,0
ZC122-MPRA3-AP1134-26-SI_ALT_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,4,4_ALT,ALT,ZC122-MPRA3-AP1134-26-SI_ALT,AP1134_ALT,Small_Intestine_ALT,1,1,0
ZC122-MPRA3-AP1134-26-SI_ALT_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,5,5_ALT,ALT,ZC122-MPRA3-AP1134-26-SI_ALT,AP1134_ALT,Small_Intestine_ALT,1,1,0
ZC122-MPRA3-AP1134-26-SI_REF_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,1,1_REF,REF,ZC122-MPRA3-AP1134-26-SI_REF,AP1134_REF,Small_Intestine_REF,0,0,0
ZC122-MPRA3-AP1134-26-SI_REF_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,2,2_REF,REF,ZC122-MPRA3-AP1134-26-SI_REF,AP1134_REF,Small_Intestine_REF,0,0,0
ZC122-MPRA3-AP1134-26-SI_REF_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,3,3_REF,REF,ZC122-MPRA3-AP1134-26-SI_REF,AP1134_REF,Small_Intestine_REF,0,0,0
ZC122-MPRA3-AP1134-26-SI_REF_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,4,4_REF,REF,ZC122-MPRA3-AP1134-26-SI_REF,AP1134_REF,Small_Intestine_REF,0,0,0
ZC122-MPRA3-AP1134-26-SI_REF_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,5,5_REF,REF,ZC122-MPRA3-AP1134-26-SI_REF,AP1134_REF,Small_Intestine_REF,0,0,0
ZC123-MPRA3-AP1134-26-LI_ALT_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,1,1_ALT,ALT,ZC123-MPRA3-AP1134-26-LI_ALT,AP1134_ALT,Large_Intestine_ALT,1,0,1
ZC123-MPRA3-AP1134-26-LI_ALT_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,2,2_ALT,ALT,ZC123-MPRA3-AP1134-26-LI_ALT,AP1134_ALT,Large_Intestine_ALT,1,0,1
ZC123-MPRA3-AP1134-26-LI_ALT_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,3,3_ALT,ALT,ZC123-MPRA3-AP1134-26-LI_ALT,AP1134_ALT,Large_Intestine_ALT,1,0,1
ZC123-MPRA3-AP1134-26-LI_ALT_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,4,4_ALT,ALT,ZC123-MPRA3-AP1134-26-LI_ALT,AP1134_ALT,Large_Intestine_ALT,1,0,1
ZC123-MPRA3-AP1134-26-LI_ALT_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,5,5_ALT,ALT,ZC123-MPRA3-AP1134-26-LI_ALT,AP1134_ALT,Large_Intestine_ALT,1,0,1
ZC123-MPRA3-AP1134-26-LI_REF_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,1,1_REF,REF,ZC123-MPRA3-AP1134-26-LI_REF,AP1134_REF,Large_Intestine_REF,0,0,0
ZC123-MPRA3-AP1134-26-LI_REF_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,2,2_REF,REF,ZC123-MPRA3-AP1134-26-LI_REF,AP1134_REF,Large_Intestine_REF,0,0,0
ZC123-MPRA3-AP1134-26-LI_REF_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,3,3_REF,REF,ZC123-MPRA3-AP1134-26-LI_REF,AP1134_REF,Large_Intestine_REF,0,0,0
ZC123-MPRA3-AP1134-26-LI_REF_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,4,4_REF,REF,ZC123-MPRA3-AP1134-26-LI_REF,AP1134_REF,Large_Intestine_REF,0,0,0
ZC123-MPRA3-AP1134-26-LI_REF_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,5,5_REF,REF,ZC123-MPRA3-AP1134-26-LI_REF,AP1134_REF,Large_Intestine_REF,0,0,0
